#options: 2940x1474 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1601 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:103 out:103 type:P dur:2 cpbdur:2 q:30.49 aq:8.74 tex:1039 mv:3265 misc:2104 imb:595 pmb:242 smb:16275 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:31.12 aq:20.27 tex:1905 mv:1437 misc:1578 imb:407 pmb:88 smb:16617 d:- ref:0 ;
in:106 out:105 type:P dur:2 cpbdur:2 q:30.98 aq:26.64 tex:143781 mv:6821 misc:2750 imb:1852 pmb:259 smb:15001 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:31.05 aq:27.42 tex:14230 mv:4562 misc:2728 imb:346 pmb:1133 smb:15633 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:31.12 aq:26.79 tex:134154 mv:8640 misc:2246 imb:2637 pmb:246 smb:14229 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:31.18 aq:22.97 tex:239793 mv:11816 misc:2383 imb:3327 pmb:311 smb:13474 d:- ref:0 ;
in:110 out:109 type:P dur:2 cpbdur:2 q:31.33 aq:24.23 tex:315600 mv:13782 misc:2762 imb:3750 pmb:420 smb:12942 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:31.25 aq:24.75 tex:8749 mv:9144 misc:3579 imb:933 pmb:1063 smb:15116 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:31.66 aq:20.84 tex:29353 mv:4282 misc:3229 imb:805 pmb:438 smb:15869 d:- ref:0 ;
in:114 out:112 type:P dur:2 cpbdur:2 q:31.66 aq:18.36 tex:22996 mv:5604 misc:3760 imb:1002 pmb:563 smb:15547 d:- ref:0 ;
